id,publication
9.84549706549166E+016,Republicans and Democrats have both created our economic problems.
1.23465342778907E+018,"I was thrilled to be back in the Great city of Charlotte, North Carolina with thousands of hardworking American Patriots who love our Country, cherish our values, respect our laws, and always put AMERICA FIRST! Thank you for a wonderful evening!!"
1.30487517086002E+018,"The Unsolicited Mail In Ballot Scam is a major threat to our Democracy, &amp; the Democrats know it. Almost all recent elections using this system, even though much smaller &amp; with far fewer Ballots to count, have ended up being a disaster. Large numbers of missing Ballots &amp; Fraud!"
1.22364066268969E+018,Getting a little exercise this morning!
1.21524797896699E+018,Thank you Elise!
1.31949123404227E+018,"As per your request, Joe..."
1.32588497711288E+018,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!
1.3157799440022E+018,"Im running as a proud Democrat, for the Senate. Sleepy Joe Biden today. Its only going to get worse. It is not sustainable for our County - China will own us!!!!"
1.31968387604693E+018,"HUGE win today for the United States and for peace in the world. Sudan has agreed to a peace and normalization agreement with Israel! With the United Arab Emirates and Bahrain, thats THREE Arabcountries to have done so in only a matter of weeks. More will follow!"
1.31965586508394E+018,Thank you Megyn!
1.31951053409874E+018,11 DAYS!
1.32588953284006E+018,"Nevada is turning out to be a cesspool of Fake Votes. mschlapp &amp; AdamLaxalt are finding things that, when released, will be absolutely shocking!"
1.32589149063632E+018,Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! Reince SeanDuffyWI
1.3200956285469E+018,"Nobody is showing up for Obamas hate laced speeches. 47 people! No energy, but still better than Joe!"
1.32589538098328E+018,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.
1.32009600603838E+018,Just landed in Ohio. See you in a little while!
1.32589636953461E+018,"Georgia will be a big presidential win, as it was the night of the Election!"
1.32013415603517E+018,THANK YOU OHIO!
1.34611095607882E+018,"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. SenTomCotton Republicans have pluses &amp; minuses, but one thing is sure, THEY NEVER FORGET!"
1.32013566524228E+018,"Great to be in Ohio, leaving now for Wisconsin. See you in a little while!"
1.34611244410884E+018,"Weve seen in the last few months, unprecedented amounts of Voter Fraud. SenTedCruz True!"
1.34611512871925E+018,"We are not acting to thwart the Democratic process, we are acting to protect it. SenRonJohnson"
1.34612064561315E+018,"The Surrender Caucus within the Republican Party will go down in infamy as weak and ineffective guardians of our Nation, who were willing to accept the certification of fraudulent presidential numbers!"
1.31706504270627E+018,Very good reviews on last nights NBCNews Town Hall in Miami. Thank you!!!
1.31706392137584E+018,"Polls numbers are looking very strong. Big crowds, great enthusiasm. Massive RED WAVE coming!!!"
1.31706217826503E+018,Biden lied Pennsylvania!
1.31706038837103E+018,Thank you!
1.31705790992733E+018,"Thank you LIBERTARIANS. We are getting it all done, and FAST! VOTE TRUMP!!!"
1.3170569519861E+018,The process has long begun. Happening fast!
1.34623922782727E+018,Heading to Georgia now. See you soon!
1.32595618461302E+018,"This is good news, it means I won! cc: RepDougCollins SecretarySonny"
1.34627157966422E+018,"On my way, see you soon!"
1.32905468344128E+018,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY!
1.328328547598E+018,Dominion is running our Election. Rigged!
1.32596111635952E+018,"...The worst polling ever, and then theyll be back in four years to do it again. This is much more then voter and campaign finance suppression!"
1.32016243920015E+018,Thank you OHIO!
1.32016225286826E+018,What a terrible thing for Biden to say! Rigged Election?
1.328330303103E+018,I strongly stand with Kelly &amp; David. They are both great and MUST WIN!
1.32016323492676E+018,Landed in Wisconsin. BIG CROWD. On my way!
